Identity,Stats
lesbian,"{'Accuracy': 0.9901, 'Precision': 0.9843, 'Recall': 0.996, 'TPR': 0.9843, 'FPR': 0.004}"
gay,"{'Accuracy': 0.996, 'Precision': 0.9947, 'Recall': 0.9974, 'TPR': 0.9947, 'FPR': 0.0026}"
bisexual,"{'Accuracy': 0.998, 'Precision': 1.0, 'Recall': 0.996, 'TPR': 1.0, 'FPR': 0.0039}"
transgender,"{'Accuracy': 0.9987, 'Precision': 0.9987, 'Recall': 0.9987, 'TPR': 0.9987, 'FPR': 0.0013}"
trans,"{'Accuracy': 0.9947, 'Precision': 0.9947, 'Recall': 0.9947, 'TPR': 0.9947, 'FPR': 0.0053}"
queer,"{'Accuracy': 0.9974, 'Precision': 0.9987, 'Recall': 0.996, 'TPR': 0.9987, 'FPR': 0.004}"
lgbt,"{'Accuracy': 0.9993, 'Precision': 0.9987, 'Recall': 1.0, 'TPR': 0.9987, 'FPR': 0.0}"
lgbtq,"{'Accuracy': 0.998, 'Precision': 1.0, 'Recall': 0.996, 'TPR': 1.0, 'FPR': 0.0039}"
homosexual,"{'Accuracy': 0.963, 'Precision': 0.9311, 'Recall': 1.0, 'TPR': 0.9311, 'FPR': 0.0}"
straight,"{'Accuracy': 0.9914, 'Precision': 1.0, 'Recall': 0.9828, 'TPR': 1.0, 'FPR': 0.0169}"
heterosexual,"{'Accuracy': 0.9927, 'Precision': 0.9895, 'Recall': 0.996, 'TPR': 0.9895, 'FPR': 0.004}"
male,"{'Accuracy': 0.9914, 'Precision': 1.0, 'Recall': 0.9828, 'TPR': 1.0, 'FPR': 0.0169}"
female,"{'Accuracy': 0.9934, 'Precision': 1.0, 'Recall': 0.9868, 'TPR': 1.0, 'FPR': 0.013}"
nonbinary,"{'Accuracy': 0.9875, 'Precision': 1.0, 'Recall': 0.9749, 'TPR': 1.0, 'FPR': 0.0245}"
african,"{'Accuracy': 0.9954, 'Precision': 1.0, 'Recall': 0.9908, 'TPR': 1.0, 'FPR': 0.0092}"
african american,"{'Accuracy': 0.996, 'Precision': 1.0, 'Recall': 0.9921, 'TPR': 1.0, 'FPR': 0.0079}"
black,"{'Accuracy': 0.9941, 'Precision': 1.0, 'Recall': 0.9881, 'TPR': 1.0, 'FPR': 0.0117}"
white,"{'Accuracy': 0.9861, 'Precision': 1.0, 'Recall': 0.9723, 'TPR': 1.0, 'FPR': 0.027}"
european,"{'Accuracy': 0.9914, 'Precision': 1.0, 'Recall': 0.9828, 'TPR': 1.0, 'FPR': 0.0169}"
hispanic,"{'Accuracy': 0.9947, 'Precision': 1.0, 'Recall': 0.9894, 'TPR': 1.0, 'FPR': 0.0105}"
latino,"{'Accuracy': 0.9967, 'Precision': 1.0, 'Recall': 0.9934, 'TPR': 1.0, 'FPR': 0.0066}"
latina,"{'Accuracy': 0.996, 'Precision': 1.0, 'Recall': 0.9921, 'TPR': 1.0, 'FPR': 0.0079}"
latinx,"{'Accuracy': 0.9947, 'Precision': 1.0, 'Recall': 0.9894, 'TPR': 1.0, 'FPR': 0.0105}"
mexican,"{'Accuracy': 0.998, 'Precision': 1.0, 'Recall': 0.996, 'TPR': 1.0, 'FPR': 0.0039}"
asian,"{'Accuracy': 0.998, 'Precision': 1.0, 'Recall': 0.996, 'TPR': 1.0, 'FPR': 0.0039}"
indian,"{'Accuracy': 0.998, 'Precision': 1.0, 'Recall': 0.996, 'TPR': 1.0, 'FPR': 0.0039}"
middle eastern,"{'Accuracy': 0.9954, 'Precision': 1.0, 'Recall': 0.9908, 'TPR': 1.0, 'FPR': 0.0092}"
chinese,"{'Accuracy': 0.9941, 'Precision': 1.0, 'Recall': 0.9881, 'TPR': 1.0, 'FPR': 0.0117}"
japanese,"{'Accuracy': 0.9696, 'Precision': 1.0, 'Recall': 0.9392, 'TPR': 1.0, 'FPR': 0.0573}"
christian,"{'Accuracy': 0.9967, 'Precision': 1.0, 'Recall': 0.9934, 'TPR': 1.0, 'FPR': 0.0066}"
muslim,"{'Accuracy': 0.9987, 'Precision': 1.0, 'Recall': 0.9974, 'TPR': 1.0, 'FPR': 0.0026}"
jewish,"{'Accuracy': 0.9974, 'Precision': 0.9987, 'Recall': 0.996, 'TPR': 0.9987, 'FPR': 0.004}"
buddhist,"{'Accuracy': 0.9881, 'Precision': 1.0, 'Recall': 0.9762, 'TPR': 1.0, 'FPR': 0.0232}"
catholic,"{'Accuracy': 0.9954, 'Precision': 1.0, 'Recall': 0.9908, 'TPR': 1.0, 'FPR': 0.0092}"
protestant,"{'Accuracy': 0.9934, 'Precision': 1.0, 'Recall': 0.9868, 'TPR': 1.0, 'FPR': 0.013}"
sikh,"{'Accuracy': 0.9967, 'Precision': 1.0, 'Recall': 0.9934, 'TPR': 1.0, 'FPR': 0.0066}"
taoist,"{'Accuracy': 0.9875, 'Precision': 1.0, 'Recall': 0.9749, 'TPR': 1.0, 'FPR': 0.0245}"
blind,"{'Accuracy': 0.9769, 'Precision': 1.0, 'Recall': 0.9538, 'TPR': 1.0, 'FPR': 0.0442}"
deaf,"{'Accuracy': 0.9967, 'Precision': 1.0, 'Recall': 0.9934, 'TPR': 1.0, 'FPR': 0.0066}"
paralyzed,"{'Accuracy': 0.9729, 'Precision': 1.0, 'Recall': 0.9458, 'TPR': 1.0, 'FPR': 0.0514}"
All,"{'Accuracy': 0.9923, 'Precision': 0.9971, 'Recall': 0.9874, 'TPR': 0.9971, 'FPR': 0.0125}"
