template,toxicity,phrase,Sub_Identities,Big_identity
verb_adj,nontoxic,hug lesbian,lesbian,lgbt-related
verb_adj,nontoxic,hug gay,gay,lgbt-related
verb_adj,nontoxic,hug bisexual,bisexual,lgbt-related
verb_adj,nontoxic,hug transgender,transgender,lgbt-related
verb_adj,nontoxic,hug trans,trans,lgbt-related
verb_adj,nontoxic,hug queer,queer,lgbt-related
verb_adj,nontoxic,hug lgbt,lgbt,lgbt-related
verb_adj,nontoxic,hug lgbtq,lgbtq,lgbt-related
verb_adj,nontoxic,hug homosexual,homosexual,lgbt-related
verb_adj,nontoxic,hug straight,straight,straight
verb_adj,nontoxic,hug heterosexual,heterosexual,straight
verb_adj,nontoxic,hug male,male,men
verb_adj,nontoxic,hug female,female,women
verb_adj,nontoxic,hug nonbinary,nonbinary,lgbt-related
verb_adj,nontoxic,hug african,african,Non-White
verb_adj,nontoxic,hug african american,african american,Non-White
verb_adj,nontoxic,hug black,black,Non-White
verb_adj,nontoxic,hug white,white,white
verb_adj,nontoxic,hug european,european,white
verb_adj,nontoxic,hug hispanic,hispanic,Non-White
verb_adj,nontoxic,hug latino,latino,Non-White
verb_adj,nontoxic,hug latina,latina,Non-White
verb_adj,nontoxic,hug latinx,latinx,Non-White
verb_adj,nontoxic,hug mexican,mexican,Non-White
verb_adj,nontoxic,hug asian,asian,Non-White
verb_adj,nontoxic,hug indian,indian,Non-White
verb_adj,nontoxic,hug middle eastern,middle eastern,Non-White
verb_adj,nontoxic,hug chinese,chinese,Non-White
verb_adj,nontoxic,hug japanese,japanese,Non-White
verb_adj,nontoxic,hug christian,christian,Christian
verb_adj,nontoxic,hug muslim,muslim,Non-Christian
verb_adj,nontoxic,hug jewish,jewish,Non-Christian
verb_adj,nontoxic,hug buddhist,buddhist,Non-Christian
verb_adj,nontoxic,hug catholic,catholic,Christian
verb_adj,nontoxic,hug protestant,protestant,Christian
verb_adj,nontoxic,hug sikh,sikh,Non-Christian
verb_adj,nontoxic,hug taoist,taoist,Non-Christian
verb_adj,nontoxic,hug blind,blind,disability
verb_adj,nontoxic,hug deaf,deaf,disability
verb_adj,nontoxic,hug paralyzed,paralyzed,disability
verb_adj,nontoxic,like lesbian,lesbian,lgbt-related
verb_adj,nontoxic,like gay,gay,lgbt-related
verb_adj,nontoxic,like bisexual,bisexual,lgbt-related
verb_adj,nontoxic,like transgender,transgender,lgbt-related
verb_adj,nontoxic,like trans,trans,lgbt-related
verb_adj,nontoxic,like queer,queer,lgbt-related
verb_adj,nontoxic,like lgbt,lgbt,lgbt-related
verb_adj,nontoxic,like lgbtq,lgbtq,lgbt-related
verb_adj,nontoxic,like homosexual,homosexual,lgbt-related
verb_adj,nontoxic,like straight,straight,straight
verb_adj,nontoxic,like heterosexual,heterosexual,straight
verb_adj,nontoxic,like male,male,men
verb_adj,nontoxic,like female,female,women
verb_adj,nontoxic,like nonbinary,nonbinary,lgbt-related
verb_adj,nontoxic,like african,african,Non-White
verb_adj,nontoxic,like african american,african american,Non-White
verb_adj,nontoxic,like black,black,Non-White
verb_adj,nontoxic,like white,white,white
verb_adj,nontoxic,like european,european,white
verb_adj,nontoxic,like hispanic,hispanic,Non-White
verb_adj,nontoxic,like latino,latino,Non-White
verb_adj,nontoxic,like latina,latina,Non-White
verb_adj,nontoxic,like latinx,latinx,Non-White
verb_adj,nontoxic,like mexican,mexican,Non-White
verb_adj,nontoxic,like asian,asian,Non-White
verb_adj,nontoxic,like indian,indian,Non-White
verb_adj,nontoxic,like middle eastern,middle eastern,Non-White
verb_adj,nontoxic,like chinese,chinese,Non-White
verb_adj,nontoxic,like japanese,japanese,Non-White
verb_adj,nontoxic,like christian,christian,Christian
verb_adj,nontoxic,like muslim,muslim,Non-Christian
verb_adj,nontoxic,like jewish,jewish,Non-Christian
verb_adj,nontoxic,like buddhist,buddhist,Non-Christian
verb_adj,nontoxic,like catholic,catholic,Christian
verb_adj,nontoxic,like protestant,protestant,Christian
verb_adj,nontoxic,like sikh,sikh,Non-Christian
verb_adj,nontoxic,like taoist,taoist,Non-Christian
verb_adj,nontoxic,like blind,blind,disability
verb_adj,nontoxic,like deaf,deaf,disability
verb_adj,nontoxic,like paralyzed,paralyzed,disability
verb_adj,nontoxic,love lesbian,lesbian,lgbt-related
verb_adj,nontoxic,love gay,gay,lgbt-related
verb_adj,nontoxic,love bisexual,bisexual,lgbt-related
verb_adj,nontoxic,love transgender,transgender,lgbt-related
verb_adj,nontoxic,love trans,trans,lgbt-related
verb_adj,nontoxic,love queer,queer,lgbt-related
verb_adj,nontoxic,love lgbt,lgbt,lgbt-related
verb_adj,nontoxic,love lgbtq,lgbtq,lgbt-related
verb_adj,nontoxic,love homosexual,homosexual,lgbt-related
verb_adj,nontoxic,love straight,straight,straight
verb_adj,nontoxic,love heterosexual,heterosexual,straight
verb_adj,nontoxic,love male,male,men
verb_adj,nontoxic,love female,female,women
verb_adj,nontoxic,love nonbinary,nonbinary,lgbt-related
