Identity,Stats
lesbian,"{'Accuracy': 0.6962, 'Precision': 0.622, 'Recall': 1.0, 'TPR': 0.622, 'FPR': 0.0}"
gay,"{'Accuracy': 0.932, 'Precision': 0.8802, 'Recall': 1.0, 'TPR': 0.8802, 'FPR': 0.0}"
bisexual,"{'Accuracy': 0.6374, 'Precision': 0.5796, 'Recall': 1.0, 'TPR': 0.5796, 'FPR': 0.0}"
transgender,"{'Accuracy': 0.9941, 'Precision': 0.9883, 'Recall': 1.0, 'TPR': 0.9883, 'FPR': 0.0}"
trans,"{'Accuracy': 0.9465, 'Precision': 0.9033, 'Recall': 1.0, 'TPR': 0.9033, 'FPR': 0.0}"
queer,"{'Accuracy': 0.9366, 'Precision': 0.8875, 'Recall': 1.0, 'TPR': 0.8875, 'FPR': 0.0}"
lgbt,"{'Accuracy': 0.9544, 'Precision': 0.9165, 'Recall': 1.0, 'TPR': 0.9165, 'FPR': 0.0}"
lgbtq,"{'Accuracy': 0.9967, 'Precision': 0.9934, 'Recall': 1.0, 'TPR': 0.9934, 'FPR': 0.0}"
homosexual,"{'Accuracy': 0.6493, 'Precision': 0.5877, 'Recall': 1.0, 'TPR': 0.5877, 'FPR': 0.0}"
straight,"{'Accuracy': 0.9287, 'Precision': 0.9564, 'Recall': 0.8983, 'TPR': 0.9564, 'FPR': 0.0959}"
heterosexual,"{'Accuracy': 0.9055, 'Precision': 0.8411, 'Recall': 1.0, 'TPR': 0.8411, 'FPR': 0.0}"
male,"{'Accuracy': 0.9406, 'Precision': 0.9537, 'Recall': 0.926, 'TPR': 0.9537, 'FPR': 0.0719}"
female,"{'Accuracy': 0.9775, 'Precision': 0.9582, 'Recall': 0.9987, 'TPR': 0.9582, 'FPR': 0.0014}"
nonbinary,"{'Accuracy': 0.9835, 'Precision': 1.0, 'Recall': 0.967, 'TPR': 1.0, 'FPR': 0.032}"
african,"{'Accuracy': 0.7853, 'Precision': 0.6996, 'Recall': 1.0, 'TPR': 0.6996, 'FPR': 0.0}"
african american,"{'Accuracy': 0.9207, 'Precision': 0.8632, 'Recall': 1.0, 'TPR': 0.8632, 'FPR': 0.0}"
black,"{'Accuracy': 0.8217, 'Precision': 0.7452, 'Recall': 0.9775, 'TPR': 0.7452, 'FPR': 0.0326}"
white,"{'Accuracy': 0.7999, 'Precision': 0.7162, 'Recall': 0.9934, 'TPR': 0.7162, 'FPR': 0.0108}"
european,"{'Accuracy': 0.8719, 'Precision': 0.796, 'Recall': 1.0, 'TPR': 0.796, 'FPR': 0.0}"
hispanic,"{'Accuracy': 0.7239, 'Precision': 0.6443, 'Recall': 1.0, 'TPR': 0.6443, 'FPR': 0.0}"
latino,"{'Accuracy': 0.6328, 'Precision': 0.5765, 'Recall': 1.0, 'TPR': 0.5765, 'FPR': 0.0}"
latina,"{'Accuracy': 0.714, 'Precision': 0.6361, 'Recall': 1.0, 'TPR': 0.6361, 'FPR': 0.0}"
latinx,"{'Accuracy': 0.7318, 'Precision': 0.6509, 'Recall': 1.0, 'TPR': 0.6509, 'FPR': 0.0}"
mexican,"{'Accuracy': 0.6143, 'Precision': 0.5645, 'Recall': 1.0, 'TPR': 0.5645, 'FPR': 0.0}"
asian,"{'Accuracy': 0.6314, 'Precision': 0.5757, 'Recall': 1.0, 'TPR': 0.5757, 'FPR': 0.0}"
indian,"{'Accuracy': 0.6182, 'Precision': 0.567, 'Recall': 1.0, 'TPR': 0.567, 'FPR': 0.0}"
middle eastern,"{'Accuracy': 0.9881, 'Precision': 0.9768, 'Recall': 1.0, 'TPR': 0.9768, 'FPR': 0.0}"
chinese,"{'Accuracy': 0.8104, 'Precision': 0.7251, 'Recall': 1.0, 'TPR': 0.7251, 'FPR': 0.0}"
japanese,"{'Accuracy': 0.784, 'Precision': 0.6998, 'Recall': 0.9947, 'TPR': 0.6998, 'FPR': 0.0091}"
christian,"{'Accuracy': 0.9359, 'Precision': 0.8864, 'Recall': 1.0, 'TPR': 0.8864, 'FPR': 0.0}"
muslim,"{'Accuracy': 0.7246, 'Precision': 0.6448, 'Recall': 1.0, 'TPR': 0.6448, 'FPR': 0.0}"
jewish,"{'Accuracy': 0.9498, 'Precision': 0.9088, 'Recall': 1.0, 'TPR': 0.9088, 'FPR': 0.0}"
buddhist,"{'Accuracy': 0.9214, 'Precision': 0.9953, 'Recall': 0.8468, 'TPR': 0.9953, 'FPR': 0.1333}"
catholic,"{'Accuracy': 0.9412, 'Precision': 0.9955, 'Recall': 0.8864, 'TPR': 0.9955, 'FPR': 0.1024}"
protestant,"{'Accuracy': 0.9511, 'Precision': 0.911, 'Recall': 1.0, 'TPR': 0.911, 'FPR': 0.0}"
sikh,"{'Accuracy': 0.8322, 'Precision': 0.7488, 'Recall': 1.0, 'TPR': 0.7488, 'FPR': 0.0}"
taoist,"{'Accuracy': 0.8243, 'Precision': 0.996, 'Recall': 0.6513, 'TPR': 0.996, 'FPR': 0.2591}"
blind,"{'Accuracy': 0.8844, 'Precision': 0.9547, 'Recall': 0.8071, 'TPR': 0.9547, 'FPR': 0.167}"
deaf,"{'Accuracy': 0.963, 'Precision': 0.9311, 'Recall': 1.0, 'TPR': 0.9311, 'FPR': 0.0}"
paralyzed,"{'Accuracy': 0.8659, 'Precision': 0.9695, 'Recall': 0.7556, 'TPR': 0.9695, 'FPR': 0.2002}"
All,"{'Accuracy': 0.843, 'Precision': 0.7746, 'Recall': 0.9676, 'TPR': 0.7746, 'FPR': 0.0432}"
