Identity,Stats
non-white,"{'Accuracy': 0.5672, 'Precision': 0.4879, 'Recall': 0.9188, 'TPR': 0.4879, 'FPR': 0.681}"
white,"{'Accuracy': 0.3647, 'Precision': 0.2703, 'Recall': 1.0, 'TPR': 0.2703, 'FPR': 0.8308}"
disability,"{'Accuracy': 0.5, 'Precision': 0.1111, 'Recall': 0.5, 'TPR': 0.1111, 'FPR': 0.5}"
non-christian,"{'Accuracy': 0.5902, 'Precision': 0.5235, 'Recall': 0.9864, 'TPR': 0.5235, 'FPR': 0.7333}"
women,"{'Accuracy': 0.5709, 'Precision': 0.3062, 'Recall': 0.9245, 'TPR': 0.3062, 'FPR': 0.5163}"
christian,"{'Accuracy': 0.6441, 'Precision': 0.2222, 'Recall': 1.0, 'TPR': 0.2222, 'FPR': 0.3962}"
men,"{'Accuracy': 0.5895, 'Precision': 0.2085, 'Recall': 0.9452, 'TPR': 0.2085, 'FPR': 0.4557}"
lgbt-related,"{'Accuracy': 0.5385, 'Precision': 0.4615, 'Recall': 1.0, 'TPR': 0.4615, 'FPR': 0.7636}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 1.0}"
No identity,"{'Accuracy': 0.7512, 'Precision': 0.2203, 'Recall': 0.8472, 'TPR': 0.2203, 'FPR': 0.257}"
All,"{'Accuracy': 0.7184, 'Precision': 0.2646, 'Recall': 0.8863, 'TPR': 0.2646, 'FPR': 0.3022}"
