Identity,Stats
women,"{'Accuracy': 0.7225, 'Precision': 0.6801, 'Recall': 0.9648, 'TPR': 0.6801, 'FPR': 0.5954}"
white,"{'Accuracy': 0.7391, 'Precision': 0.6667, 'Recall': 1.0, 'TPR': 0.6667, 'FPR': 0.5455}"
lgbt-related,"{'Accuracy': 0.7949, 'Precision': 0.781, 'Recall': 0.988, 'TPR': 0.781, 'FPR': 0.6765}"
men,"{'Accuracy': 0.7344, 'Precision': 0.6812, 'Recall': 0.9667, 'TPR': 0.6812, 'FPR': 0.546}"
non-christian,"{'Accuracy': 0.6832, 'Precision': 0.663, 'Recall': 0.9839, 'TPR': 0.663, 'FPR': 0.7949}"
straight,"{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}"
non-white,"{'Accuracy': 0.7826, 'Precision': 0.7692, 'Recall': 0.9677, 'TPR': 0.7692, 'FPR': 0.6}"
disability,"{'Accuracy': 0.6875, 'Precision': 0.2308, 'Recall': 1.0, 'TPR': 0.2308, 'FPR': 0.3448}"
christian,"{'Accuracy': 0.5789, 'Precision': 0.5161, 'Recall': 0.9412, 'TPR': 0.5161, 'FPR': 0.7143}"
No identity,"{'Accuracy': 0.8162, 'Precision': 0.4618, 'Recall': 0.9267, 'TPR': 0.4618, 'FPR': 0.2048}"
All,"{'Accuracy': 0.7738, 'Precision': 0.5828, 'Recall': 0.9579, 'TPR': 0.5828, 'FPR': 0.3092}"
