Identity,Stats
white,"{'Accuracy': 0.5882, 'Precision': 0.3968, 'Recall': 0.9804, 'TPR': 0.3968, 'FPR': 0.5588}"
asian,"{'Accuracy': 0.7066, 'Precision': 0.5556, 'Recall': 0.8475, 'TPR': 0.5556, 'FPR': 0.3704}"
poc,"{'Accuracy': 0.625, 'Precision': 0.5714, 'Recall': 1.0, 'TPR': 0.5714, 'FPR': 0.75}"
physical,"{'Accuracy': 0.3846, 'Precision': 0.125, 'Recall': 0.5, 'TPR': 0.125, 'FPR': 0.6364}"
other,"{'Accuracy': 0.5, 'Precision': 0.5, 'Recall': 1.0, 'TPR': 0.5, 'FPR': 1.0}"
female,"{'Accuracy': 0.7649, 'Precision': 0.4479, 'Recall': 0.8113, 'TPR': 0.4479, 'FPR': 0.2465}"
native american,"{'Accuracy': 0.7143, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2857}"
latino,"{'Accuracy': 0.7018, 'Precision': 0.5185, 'Recall': 0.7778, 'TPR': 0.5185, 'FPR': 0.3333}"
black,"{'Accuracy': 0.6257, 'Precision': 0.6147, 'Recall': 0.7283, 'TPR': 0.6147, 'FPR': 0.4828}"
muslim,"{'Accuracy': 0.6269, 'Precision': 0.5306, 'Recall': 0.9286, 'TPR': 0.5306, 'FPR': 0.5897}"
sikh,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
jewish,"{'Accuracy': 0.687, 'Precision': 0.5979, 'Recall': 0.9667, 'TPR': 0.5979, 'FPR': 0.5493}"
christian,"{'Accuracy': 0.7203, 'Precision': 0.2558, 'Recall': 0.9167, 'TPR': 0.2558, 'FPR': 0.3019}"
middle eastern,"{'Accuracy': 0.6944, 'Precision': 0.4762, 'Recall': 1.0, 'TPR': 0.4762, 'FPR': 0.4231}"
mexican,"{'Accuracy': 0.7143, 'Precision': 0.8, 'Recall': 0.8, 'TPR': 0.8, 'FPR': 0.5}"
mental,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
male,"{'Accuracy': 0.7809, 'Precision': 0.3194, 'Recall': 0.8356, 'TPR': 0.3194, 'FPR': 0.2261}"
indian,"{'Accuracy': 0.6429, 'Precision': 0.6, 'Recall': 0.8571, 'TPR': 0.6, 'FPR': 0.5714}"
gay,"{'Accuracy': 0.7714, 'Precision': 0.5882, 'Recall': 0.9091, 'TPR': 0.5882, 'FPR': 0.2917}"
european,"{'Accuracy': 0.7391, 'Precision': 0.3333, 'Recall': 1.0, 'TPR': 0.3333, 'FPR': 0.3}"
lesbian,"{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}"
african,"{'Accuracy': 0.5, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.5}"
lgbt-related,"{'Accuracy': 0.5385, 'Precision': 0.4194, 'Recall': 1.0, 'TPR': 0.4194, 'FPR': 0.6923}"
homosexual,"{'Accuracy': 0.7333, 'Precision': 0.7143, 'Recall': 1.0, 'TPR': 0.7143, 'FPR': 0.8}"
lgbt,"{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}"
chinese,"{'Accuracy': 0.5, 'Precision': 0.3333, 'Recall': 1.0, 'TPR': 0.3333, 'FPR': 0.6667}"
japanese,"{'Accuracy': 0.6667, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.3333}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 1.0}"
bisexual,"{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}"
trans,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
african american,"{'Accuracy': 0.8148, 'Precision': 0.9412, 'Recall': 0.8, 'TPR': 0.9412, 'FPR': 0.1429}"
No identity,"{'Accuracy': 0.8978, 'Precision': 0.416, 'Recall': 0.7284, 'TPR': 0.416, 'FPR': 0.0876}"
All,"{'Accuracy': 0.8684, 'Precision': 0.4423, 'Recall': 0.7826, 'TPR': 0.4423, 'FPR': 0.1211}"
