Identity,Stats
No identity,"{'Accuracy': 0.7493, 'Precision': 0.6302, 'Recall': 0.6002, 'TPR': 0.6302, 'FPR': 0.1953}"
female,"{'Accuracy': 0.6841, 'Precision': 0.6615, 'Recall': 0.8497, 'TPR': 0.6615, 'FPR': 0.2648}"
christian,"{'Accuracy': 0.641, 'Precision': 0.4386, 'Recall': 0.7143, 'TPR': 0.4386, 'FPR': 0.1667}"
male,"{'Accuracy': 0.6174, 'Precision': 0.5163, 'Recall': 0.8254, 'TPR': 0.5163, 'FPR': 0.1987}"
muslim,"{'Accuracy': 0.6548, 'Precision': 0.6468, 'Recall': 0.8636, 'TPR': 0.6468, 'FPR': 0.32}"
black,"{'Accuracy': 0.6611, 'Precision': 0.6465, 'Recall': 0.9209, 'TPR': 0.6465, 'FPR': 0.2683}"
poc,"{'Accuracy': 0.7729, 'Precision': 0.8947, 'Recall': 0.8144, 'TPR': 0.8947, 'FPR': 0.5636}"
white,"{'Accuracy': 0.619, 'Precision': 0.6182, 'Recall': 0.7556, 'TPR': 0.6182, 'FPR': 0.3793}"
asian,"{'Accuracy': 0.622, 'Precision': 0.6027, 'Recall': 0.9565, 'TPR': 0.6027, 'FPR': 0.2222}"
middle eastern,"{'Accuracy': 0.7079, 'Precision': 0.4444, 'Recall': 0.7273, 'TPR': 0.4444, 'FPR': 0.1132}"
european,"{'Accuracy': 0.7115, 'Precision': 0.6364, 'Recall': 0.875, 'TPR': 0.6364, 'FPR': 0.1579}"
latino,"{'Accuracy': 0.6765, 'Precision': 0.5714, 'Recall': 0.7407, 'TPR': 0.5714, 'FPR': 0.2121}"
gay,"{'Accuracy': 0.3478, 'Precision': 0.2857, 'Recall': 1.0, 'TPR': 0.2857, 'FPR': 0.0}"
lgbt-related,"{'Accuracy': 0.5641, 'Precision': 0.5526, 'Recall': 1.0, 'TPR': 0.5526, 'FPR': 0.0}"
mental,"{'Accuracy': 0.8, 'Precision': 0.6667, 'Recall': 0.6667, 'TPR': 0.6667, 'FPR': 0.1429}"
african american,"{'Accuracy': 0.4545, 'Precision': 0.4545, 'Recall': 1.0, 'TPR': 0.4545, 'FPR': 0}"
physical,"{'Accuracy': 0.5385, 'Precision': 0.5, 'Recall': 0.6667, 'TPR': 0.5, 'FPR': 0.4}"
jewish,"{'Accuracy': 0.6333, 'Precision': 0.619, 'Recall': 0.8125, 'TPR': 0.619, 'FPR': 0.3333}"
african,"{'Accuracy': 0.8, 'Precision': 0.75, 'Recall': 1.0, 'TPR': 0.75, 'FPR': 0.0}"
lesbian,"{'Accuracy': 0.9091, 'Precision': 0.8889, 'Recall': 1.0, 'TPR': 0.8889, 'FPR': 0.0}"
chinese,"{'Accuracy': 0.5, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.5}"
native american,"{'Accuracy': 0.3333, 'Precision': 0.3333, 'Recall': 1.0, 'TPR': 0.3333, 'FPR': 0}"
trans,"{'Accuracy': 0.6364, 'Precision': 0.4286, 'Recall': 1.0, 'TPR': 0.4286, 'FPR': 0.0}"
lgbt,"{'Accuracy': 0.7778, 'Precision': 0.6, 'Recall': 1.0, 'TPR': 0.6, 'FPR': 0.0}"
other,"{'Accuracy': 0.75, 'Precision': 0.5, 'Recall': 1.0, 'TPR': 0.5, 'FPR': 0.0}"
mexican,"{'Accuracy': 0.3333, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.5}"
japanese,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
protestant,"{'Accuracy': 0.25, 'Precision': 0.3333, 'Recall': 0.5, 'TPR': 0.3333, 'FPR': 1.0}"
sikh,"{'Accuracy': 0.5, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0}"
All,"{'Accuracy': 0.7097, 'Precision': 0.6319, 'Recall': 0.7451, 'TPR': 0.6319, 'FPR': 0.2135}"
