Identity,Stats
non-white,"{'Accuracy': 0.6807, 'Precision': 0.5836, 'Recall': 0.797, 'TPR': 0.5836, 'FPR': 0.4014}"
white,"{'Accuracy': 0.6275, 'Precision': 0.3856, 'Recall': 0.9833, 'TPR': 0.3856, 'FPR': 0.4821}"
disability,"{'Accuracy': 0.5556, 'Precision': 0.125, 'Recall': 0.5, 'TPR': 0.125, 'FPR': 0.4375}"
non-christian,"{'Accuracy': 0.6728, 'Precision': 0.5826, 'Recall': 0.9592, 'TPR': 0.5826, 'FPR': 0.5611}"
women,"{'Accuracy': 0.7649, 'Precision': 0.4479, 'Recall': 0.8113, 'TPR': 0.4479, 'FPR': 0.2465}"
christian,"{'Accuracy': 0.7203, 'Precision': 0.2558, 'Recall': 0.9167, 'TPR': 0.2558, 'FPR': 0.3019}"
men,"{'Accuracy': 0.7809, 'Precision': 0.3194, 'Recall': 0.8356, 'TPR': 0.3194, 'FPR': 0.2261}"
lgbt-related,"{'Accuracy': 0.6813, 'Precision': 0.5556, 'Recall': 0.9722, 'TPR': 0.5556, 'FPR': 0.5091}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 1.0}"
No identity,"{'Accuracy': 0.8978, 'Precision': 0.416, 'Recall': 0.7284, 'TPR': 0.416, 'FPR': 0.0876}"
All,"{'Accuracy': 0.8684, 'Precision': 0.4423, 'Recall': 0.7826, 'TPR': 0.4423, 'FPR': 0.1211}"
