Identity,Stats
non-white,"{'Accuracy': 0.5735, 'Precision': 0.492, 'Recall': 0.934, 'TPR': 0.492, 'FPR': 0.681}"
white,"{'Accuracy': 0.3961, 'Precision': 0.2804, 'Recall': 1.0, 'TPR': 0.2804, 'FPR': 0.7897}"
disability,"{'Accuracy': 0.4444, 'Precision': 0.1667, 'Recall': 1.0, 'TPR': 0.1667, 'FPR': 0.625}"
non-christian,"{'Accuracy': 0.5199, 'Precision': 0.4834, 'Recall': 0.9932, 'TPR': 0.4834, 'FPR': 0.8667}"
women,"{'Accuracy': 0.5373, 'Precision': 0.2912, 'Recall': 0.934, 'TPR': 0.2912, 'FPR': 0.5605}"
christian,"{'Accuracy': 0.5932, 'Precision': 0.2, 'Recall': 1.0, 'TPR': 0.2, 'FPR': 0.4528}"
men,"{'Accuracy': 0.5494, 'Precision': 0.1915, 'Recall': 0.9315, 'TPR': 0.1915, 'FPR': 0.4991}"
lgbt-related,"{'Accuracy': 0.5275, 'Precision': 0.4557, 'Recall': 1.0, 'TPR': 0.4557, 'FPR': 0.7818}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 1.0}"
No identity,"{'Accuracy': 0.7363, 'Precision': 0.2161, 'Recall': 0.8911, 'TPR': 0.2161, 'FPR': 0.277}"
All,"{'Accuracy': 0.7019, 'Precision': 0.2575, 'Recall': 0.9172, 'TPR': 0.2575, 'FPR': 0.3245}"
