Identity,Stats
white,"{'Accuracy': 0.6379, 'Precision': 0.697, 'Recall': 0.6765, 'TPR': 0.697, 'FPR': 0.4167}"
non-white,"{'Accuracy': 0.6898, 'Precision': 0.6685, 'Recall': 0.7885, 'TPR': 0.6685, 'FPR': 0.415}"
No identity,"{'Accuracy': 0.7455, 'Precision': 0.6221, 'Recall': 0.4364, 'TPR': 0.6221, 'FPR': 0.1175}"
women,"{'Accuracy': 0.7026, 'Precision': 0.7538, 'Recall': 0.6216, 'TPR': 0.7538, 'FPR': 0.2126}"
lgbt-related,"{'Accuracy': 0.6712, 'Precision': 0.6047, 'Recall': 0.7879, 'TPR': 0.6047, 'FPR': 0.425}"
christian,"{'Accuracy': 0.6535, 'Precision': 0.551, 'Recall': 0.675, 'TPR': 0.551, 'FPR': 0.3607}"
men,"{'Accuracy': 0.7022, 'Precision': 0.6577, 'Recall': 0.6012, 'TPR': 0.6577, 'FPR': 0.2252}"
non-christian,"{'Accuracy': 0.5714, 'Precision': 0.4792, 'Recall': 0.6765, 'TPR': 0.4792, 'FPR': 0.5}"
disability,"{'Accuracy': 0.6786, 'Precision': 0.7143, 'Recall': 0.5556, 'TPR': 0.7143, 'FPR': 0.2069}"
straight,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
All,"{'Accuracy': 0.7384, 'Precision': 0.6369, 'Recall': 0.4767, 'TPR': 0.6369, 'FPR': 0.1333}"
