Identity,Stats
No identity,"{'Accuracy': 0.7303, 'Precision': 0.5702, 'Recall': 0.7878, 'TPR': 0.5702, 'FPR': 0.2987}"
female,"{'Accuracy': 0.6789, 'Precision': 0.6474, 'Recall': 0.9082, 'TPR': 0.6474, 'FPR': 0.5984}"
christian,"{'Accuracy': 0.6923, 'Precision': 0.4921, 'Recall': 0.8857, 'TPR': 0.4921, 'FPR': 0.3902}"
male,"{'Accuracy': 0.5961, 'Precision': 0.5092, 'Recall': 0.9425, 'TPR': 0.5092, 'FPR': 0.6529}"
muslim,"{'Accuracy': 0.6484, 'Precision': 0.6209, 'Recall': 0.9773, 'TPR': 0.6209, 'FPR': 0.7836}"
black,"{'Accuracy': 0.6695, 'Precision': 0.6442, 'Recall': 0.964, 'TPR': 0.6442, 'FPR': 0.74}"
poc,"{'Accuracy': 0.8068, 'Precision': 0.8508, 'Recall': 0.9222, 'TPR': 0.8508, 'FPR': 0.675}"
white,"{'Accuracy': 0.631, 'Precision': 0.6029, 'Recall': 0.9111, 'TPR': 0.6029, 'FPR': 0.6923}"
asian,"{'Accuracy': 0.622, 'Precision': 0.602, 'Recall': 0.962, 'TPR': 0.602, 'FPR': 0.8125}"
middle eastern,"{'Accuracy': 0.7416, 'Precision': 0.4884, 'Recall': 0.9545, 'TPR': 0.4884, 'FPR': 0.3284}"
european,"{'Accuracy': 0.6923, 'Precision': 0.6053, 'Recall': 0.9583, 'TPR': 0.6053, 'FPR': 0.5357}"
latino,"{'Accuracy': 0.6912, 'Precision': 0.5714, 'Recall': 0.8889, 'TPR': 0.5714, 'FPR': 0.439}"
gay,"{'Accuracy': 0.3043, 'Precision': 0.2727, 'Recall': 1.0, 'TPR': 0.2727, 'FPR': 0.9412}"
lgbt-related,"{'Accuracy': 0.5641, 'Precision': 0.5526, 'Recall': 1.0, 'TPR': 0.5526, 'FPR': 0.9444}"
mental,"{'Accuracy': 0.9, 'Precision': 0.75, 'Recall': 1.0, 'TPR': 0.75, 'FPR': 0.1429}"
african american,"{'Accuracy': 0.4545, 'Precision': 0.4545, 'Recall': 1.0, 'TPR': 0.4545, 'FPR': 1.0}"
physical,"{'Accuracy': 0.5385, 'Precision': 0.5, 'Recall': 0.5, 'TPR': 0.5, 'FPR': 0.4286}"
jewish,"{'Accuracy': 0.7333, 'Precision': 0.6667, 'Recall': 1.0, 'TPR': 0.6667, 'FPR': 0.5714}"
african,"{'Accuracy': 0.8, 'Precision': 0.75, 'Recall': 1.0, 'TPR': 0.75, 'FPR': 0.5}"
lesbian,"{'Accuracy': 0.7273, 'Precision': 0.7778, 'Recall': 0.875, 'TPR': 0.7778, 'FPR': 0.6667}"
chinese,"{'Accuracy': 0.75, 'Precision': 1.0, 'Recall': 0.5, 'TPR': 1.0, 'FPR': 0.0}"
native american,"{'Accuracy': 0.3333, 'Precision': 0.25, 'Recall': 0.5, 'TPR': 0.25, 'FPR': 0.75}"
trans,"{'Accuracy': 0.2727, 'Precision': 0.2222, 'Recall': 0.6667, 'TPR': 0.2222, 'FPR': 0.875}"
lgbt,"{'Accuracy': 0.7778, 'Precision': 0.6, 'Recall': 1.0, 'TPR': 0.6, 'FPR': 0.3333}"
other,"{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}"
mexican,"{'Accuracy': 0.6667, 'Precision': 0.5, 'Recall': 1.0, 'TPR': 0.5, 'FPR': 0.5}"
japanese,"{'Accuracy': 1.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 1, 'FPR': 0.0}"
protestant,"{'Accuracy': 0.25, 'Precision': 0.3333, 'Recall': 0.5, 'TPR': 0.3333, 'FPR': 1.0}"
sikh,"{'Accuracy': 0.5, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.5}"
straight,"{'Accuracy': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 1.0}"
All,"{'Accuracy': 0.7004, 'Precision': 0.601, 'Recall': 0.8601, 'TPR': 0.601, 'FPR': 0.4159}"
